path,mapped,chunks,combinedLen,maxNchars,modified,headings
"_ai_workbench/source_quality_control-ai read.md","_ai_workbench/source_quality_control-ai read.md","1","1522","1754","2026/02/02 22:17:52","信息源质量控制指南"
"_ai_workbench/useful_resources.md","_ai_workbench/useful_resources.md","1","1121","1324","2026/02/04 11:28:29","实用AI资源汇总"
"_ai_workbench/weekly-github-stars-2026-W06.md","_ai_workbench/weekly-github-stars-2026-W06.md","1","1945","2184","2026/02/09 17:24:57","📦 每周GitHub Star项目汇总"
"_NoteCompanion/Templates/enhance.md","_NoteCompanion/Templates/enhance.md","1","1020","1208","2026/01/25 14:22:37",""
"_NoteCompanion/Templates/flash_cards.md","_NoteCompanion/Templates/flash_cards.md","1","5273","5469","2026/01/25 14:22:38",""
"_NoteCompanion/Templates/meeting_note.md","_NoteCompanion/Templates/meeting_note.md","1","1365","1563","2026/01/25 14:22:37",""
"_NoteCompanion/Templates/research_paper.md","_NoteCompanion/Templates/research_paper.md","1","3488","4268","2026/01/25 14:22:37","1. Key Arguments & Evidence"
"_NoteCompanion/Templates/youtube_video.md","_NoteCompanion/Templates/youtube_video.md","1","3567","3783","2026/01/25 14:22:37","Detailed Summary"
"Study/错题本/0.Readme.md","10_学习/错题本/0.Readme.md","1","1085","1270","2026/01/24 09:06:30","C 语言错题本总索引"
"Study/错题本/01_Compile_Link/1.1 循环－判断后的分号截断.md","10_学习/错题本/01_Compile_Link/1.1 循环－判断后的分号截断.md","1","226","448","2026/01/24 09:06:30","[1.1] 循环/判断后的分号截断"
"Study/错题本/01_Compile_Link/1.1 循环或判断后的分号截断.md","10_学习/错题本/01_Compile_Link/1.1 循环或判断后的分号截断.md","1","415","637","2026/01/24 09:06:30","[1.1] 循环/判断后的分号截断"
"Study/错题本/01_Compile_Link/1.2 宏定义的运算优先级.md","10_学习/错题本/01_Compile_Link/1.2 宏定义的运算优先级.md","1","387","603","2026/01/24 09:06:30","[1.2] 宏定义的运算优先级"
"Study/错题本/01_Compile_Link/1.3 赋值与相等混淆.md","10_学习/错题本/01_Compile_Link/1.3 赋值与相等混淆.md","1","224","461","2026/01/24 09:06:30","[1.3] 赋值与相等混淆 (The ""="" vs ""=="" Trap)"
"Study/错题本/01_Compile_Link/1.4 字符常量的单双引号.md","10_学习/错题本/01_Compile_Link/1.4 字符常量的单双引号.md","1","144","360","2026/01/24 09:06:30","[1.4] 字符常量的单双引号"
"Study/错题本/01_Compile_Link/1.5输出类型不匹配.md","10_学习/错题本/01_Compile_Link/1.5输出类型不匹配.md","1","361","556","2026/01/24 09:06:30",""
"Study/错题本/01_Compile_Link/1.6.if_else算为一句话.md","10_学习/错题本/01_Compile_Link/1.6.if_else算为一句话.md","1","529","748","2026/01/24 09:06:30","[2026-01-12]"
"Study/错题本/01_Compile_Link/1.7规定为整数时不能填变量.md","10_学习/错题本/01_Compile_Link/1.7规定为整数时不能填变量.md","1","195","415","2026/01/24 09:06:30","[2026-01-09] 错误标题"
"Study/错题本/01_Compile_Link/1.8动态数组的语法问题.md","10_学习/错题本/01_Compile_Link/1.8动态数组的语法问题.md","1","494","705","2026/01/24 09:06:30","[2026-01-12]"
"Study/错题本/01_Compile_Link/1.9.1 宏定义优先级诅咒.md","10_学习/错题本/01_Compile_Link/1.9.1 宏定义优先级诅咒.md","1","533","770","2026/01/24 09:06:30","[1.9.1] 宏定义优先级诅咒 (Precedence Trap)"
"Study/错题本/01_Compile_Link/1.9.2 宏定义副作用幽灵.md","10_学习/错题本/01_Compile_Link/1.9.2 宏定义副作用幽灵.md","1","454","695","2026/01/24 09:06:30","[1.9.2] 宏定义副作用幽灵 (Side-Effect Phantom)"
"Study/错题本/01_Compile_Link/1.9.3 宏定义多语句吞噬控制流.md","10_学习/错题本/01_Compile_Link/1.9.3 宏定义多语句吞噬控制流.md","1","760","1006","2026/01/24 09:06:30","[1.9.3] 宏定义多语句吞噬控制流 (Swallowed Scope)"
