论点编号,论点内容（中性表述）,证据类型,关键数据/结论,适用边界,潜在偏差/局限,拟放入章节位置,是否需二次核验
E01,ISO 14040:2006 是本研究LCA总框架依据,国际标准（ISO）,规定LCA原则与框架；用于目标与范围、清单、影响评价、解释框架,LCA通用方法层,公开页面可核验版本与状态，条文细节需标准文本核验,第3章3.1/3.2,是
E02,ISO 14044:2006 是本研究实施要求依据,国际标准（ISO）,规定LCA要求与指南；支撑可比性、数据质量、分配、结果解释等,LCA实施与报告层,具体条款引用需标准正文核验,第3章3.1/3.4,是
E03,ISO 14067:2018 是产品碳足迹直接依据（ISO官网状态页+WD信息用于版本状态说明）,国际标准（ISO）,用于CFP量化与报告；需记录采用版本与检索日期；ISO官网状态页可证明现行版本信息，WD页面可证明存在修订工作稿（仅元信息）。,产品碳足迹（气候变化单一类别）,ISO页面为元信息；条款细节仍需标准正文核验；WD不代表已发布新版本。,第3章3.1（标准依据与版本状态说明）,否
E04,GHG Protocol Product Standard 可作为产品层级核算补充框架,国际标准/机构标准（WRI/WBCSD）,产品生命周期核算与报告标准（2011）；补充答辩解释产品层级逻辑,补充说明，不替代ISO主线,非本研究主标准；需避免替代关系表述错误,第2章/第3章3.1,否
E05,中国官方电力碳足迹因子公告可用于产品碳足迹/LCA场景,官方公告+附件PDF,2024年全国电力平均碳足迹因子=0.5777 kgCO2e/kWh（用于产品碳足迹/LCA场景）,中国电网口径；注意年份/区域层级,年份会更新；需在论文中记录采用年份与获取日期。,第2章2.3.3；第3章3.3.2；第4章4.1,是
E06,中国官方电力CO₂排放因子可作为补充/敏感性分析口径,官方公告（生态环境部等）,主要用于电力消费CO₂核算；与电力碳足迹因子口径不同,企业/项目/活动电力CO₂核算,若与CFP主线混用会导致不可比,第3章3.3（对照说明）,是
E07,S1功能单位应固定为同规格同质量要求印刷任务,研究设定（论文方法）,1000份A4双面四色宣传单（157g铜版纸，单页）,仅适用于该功能单位情景,订单类型变化会改变可比性,第3章3.3（纸张因子来源）; 第4章4.3（敏感性说明）,否
E08,当前模型V2为纸张+电力的阶段性结果，不是最终完整CFP,Excel模型计算结果,数字印刷约19.6017，胶印约29.6166 kgCO₂e/1000张（主线参数）,仅当前估算参数与混合边界下成立,电耗估算、油墨/版材缺失导致不确定性较高,第4章4.3（敏感性）,是
E09,铜版纸因子主线1.29与中国备选1.49应通过敏感性分析比较,数据库/企业实测候选（待最终引用固化）,用于纸张项敏感性分析，不直接混为单一真值,157g铜版纸对应/近似材料口径,来源适配性与代表性需人工核验,第4章敏感性分析/第5章讨论,是
E10,Two Sides 报告提供印刷纸（含涂布自由纸/CWF）的cradle-to-gate行业平均全球变暖结果，可用于纸张因子候选与敏感性分析。,行业LCA报告（公开PDF）,Coated Free = 1469 kg CO2 eq / bone-dry short ton；折算=1.619 kgCO2e/kg（short ton=907.18474 kg）。,Cradle-to-gate（行业平均），单位换算到kgCO2e/kg后可用于纸张材料项。,报告为行业平均且为北美/印刷纸类别；对中国工厂代表性有限；需在论文中说明‘行业平均/地区差异’。,第3章3.3；第4章4.3（扩展敏感性）,否
